net
		
p	Полный	
Дальн	Пр	Хтыс	Вд
0200	0	98	18
0400	0	95	18
0600	1	92	18
0800	4	89	18
1000	6	86	17
1200	8	83	17
1400	11	80	17
1600	13	77	16
1800	16	74	16
2000	18	71	15
2200	21	69	15
2400	24	67	15
2600	27	65	15
2800	30	63	15
3000	33	61	14
3200	37	59	14
3400	40	57	14
3600	44	55	13
3800	47	53	13
4000	51	51	13
4200	55	49	13
4400	59	47	12
4600	64	45	12
4800	68	43	12
5000	73	41	11
5200	77	39	11
5400	82	38	11
5600	88	36	11
5800	93	35	12
6000	99	34	12
6200	105	33	12
6400	111	32	13
6600	117	31	13
6800	124	30	13
7000	130	30	14
7200	137	29	14
7400	144	28	14
7600	151	27	14
7800	159	26	14
8000	167	26	15
8200	174	25	15
8400	182	24	15
8600	191	23	16
8800	199	23	16
9000	208	22	17
9200	217	22	17
9400	226	21	17
9600	235	21	17
9800	245	20	18
10000	254	20	18
10200	264	20	18
10400	274	19	18
10600	285	19	18
10800	295	18	19
11000	306	18	19
11200	317	18	19
11400	329	17	19
11600	341	17	19
11800	353	17	20
12000	365	16	20
12200	378	16	20
12400	391	15	20
12600	405	15	21
12800	419	14	21
13000	434	14	22
13200	449	13	22
13400	464	12	22
13600	481	11	23
13800	499	11	23
14000	517	10	24
14200	537	9.3	24
14400	558	8.4	25
14600	582	7.3	25
14800	609	6.0	26
15000	641	4.4	26
15200	686	4.4	27
15300	750	4.4	28
		
u	Уменьшенный	
Дальн	Пр	Хтыс	Вд
0200	0	64	12
0400	0	62	12
0600	3	59	12
0800	6	57	12
1000	10	55	11
1200	13	53	11
1400	17	51	10
1600	21	49	10
1800	25	47	10
2000	29	45	10
2200	34	43	11
2400	38	42	11
2600	43	40	11
2800	48	39	11
3000	53	37	11
3200	58	36	11	
3400	64	34	12
3600	69	33	12
3800	75	32	12
4000	82	31	12
4200	88	30	13
4400	95	29	13
4600	102	28	13
4800	109	27	13
5000	117	27	14
5200	124	26	14
5400	132	26	15
5600	140	25	15
5800	148	24	15
6000	156	23	16
6200	165	22	16
6400	174	22	16
6600	183	22	17
6800	192	21	17
7000	201	21	17
7200	211	20	17
7400	221	20	18
7600	231	19	18
7800	241	19	18
8000	252	18	19
8200	263	18	19
8400	274	18	20
8600	285	18	20
8800	296	17	20
9000	308	17	21
9200	320	16	21
9400	332	16	21
9600	345	15	21
9800	358	15	22
10000	372	14	22
10200	386	14	22
10400	400	13	23
10600	415	13	23
10800	431	12	24
11000	447	12	24
11200	464	11	24
11400	483	10	25
11600	502	9.6	25
11800	523	8.9	25
12000	546	8.0	26
12200	570	6.9	26
12400	599	5.5	27
12600	635	3.4	28
12800	695	3.4	28
12840	750	3.4	29
		
1	Первый	 
Дальн	Пр	Хтыс	Вд	
0200	0	49	9.6
0400	4	47	9.3
0600	8	45	9.1
0800	13	43	8.8
1000	17	41	8.6
1200	22	39	8.6
1400	27	38	8.6
1600	32	37	8.6
1800	38	35	8.6
2000	43	33	8.7
2200	49	32	8.9
2400	55	31	9.1
2600	62	30	9.3
2800	68	29	9.6
3000	75	28	9.9
3200	82	27	10
3400	89	26	10
3600	97	26	11
3800	105	25	11
4000	112	24	12
4200	120	24	12
4400	129	23	12
4600	138	23	12
4800	147	22	12
5000	156	22	13
5200	165	21	13
5400	175	21	13
5600	185	21	14
5800	194	21	14
6000	204	20	15
6200	215	20	15
6400	225	19	16
6600	236	19	16
6800	247	19	16
7000	258	18	17
7200	269	18	17
7400	281	17	17
7600	293	17	17
7800	305	17	17
8000	318	16	18
8200	331	16	18
8400	344	15	18
8600	358	15	19
8800	372	14	19
9000	386	14	20
9200	401	13	20
9400	417	12	21
9600	433	12	21
9800	450	11	22
10000	468	10	23
10200	487	9.8	23
10400	508	9.0	24
10600	530	8.3	24
10800	555	7.4	25
11000	582	5.9	26
11200	616	4.4	26
11400	661	4.4	27
11540	750	4.4	28
		
2	Второй	
Дальн	Пр	Хтыс	
0200	4	36	8.5
0400	10	35	8.4
0600	16	33	8.3
0800	22	31	8.2
1000	28	30	8.1
1200	35	29	8
1400	42	28	8.1
1600	49	27	8.2
1800	57	26	8.3
2000	65	25	8.4
2200	73	25	8.6
2400	81	24	8.9
2600	90	24	9.2
2800	99	23	9.5
3000	108	22	9.8
3200	117	22	10
3400	126	21	10
3600	135	21	10
3800	145	20	10
4000	155	20	11
4200	165	19	11
4400	175	19	11
4600	186	18	12
4800	197	18	12
5000	208	18	13
5200	219	17	13
5400	231	17	13
5600	242	16	13
5800	254	16	13
6000	266	15	14
6200	279	15	14
6400	291	15	14
6600	305	14	15
6800	318	14	15
7000	332	13	16
7200	346	13	16
7400	361	13	17
7600	376	12	17
7800	392	12	18
8000	409	12	19
8200	426	11	19
8400	444	11	20
8600	463	10	20
8800	483	9.5	21
9000	504	8.8	21
9200	528	7.9	22
9400	555	6.9	22
9600	586	5.7	23
9800	624	4.2	23
10000	685	4.1	24
10140	750	4.1	26
		
3	Третий	
Дальн	Пр	Хтыс	Вд
0200	10	23	6.9
0400	18	22	6.7
0600	27	22	6.8
